Cost
10,0.71
10,0.2
11,0.24
10,0.21
12,0.25
10,0.22
12,0.23
10,0.2
11,0.24
7,0.21
Média dos custos: 10.3
Média dos tempos: 0.271
Menor custo: 7
6,0.65
10,0.22
10,0.21
11,0.27
11,0.21
10,0.2
4,0.21
4,0.23
6,0.25
11,0.22
Média dos custos: 8.3
Média dos tempos: 0.267
Menor custo: 4
6,0.7
11,0.25
11,0.22
9,0.22
9,0.21
10,0.2
11,0.22
12,0.22
11,0.22
6,0.21
Média dos custos: 9.6
Média dos tempos: 0.267
Menor custo: 6
10,0.72
11,0.24
10,0.22
10,0.22
10,0.23
6,0.23
4,0.2
6,0.23
7,0.25
6,0.25
Média dos custos: 8.0
Média dos tempos: 0.279
Menor custo: 4
10,167.04
9,0.71
10,0.19
10,0.21
9,0.2
4,0.18
11,0.19
10,0.21
7,0.21
6,0.2
10,0.19
Média dos custos: 8.6
Média dos tempos: 0.24899999999999997
Menor custo: 4
7,0.69
10,0.22
11,0.24
10,0.2
9,0.24
11,0.22
6,0.23
6,0.3
12,0.29
4,0.24
Média dos custos: 8.6
Média dos tempos: 0.28700000000000003
Menor custo: 4
9,0.72
11,0.24
10,0.23
6,0.2
6,0.24
Média dos custos: 8.4
Média dos tempos: 0.32599999999999996
Menor custo: 6
11,0.71
11,0.25
11,0.31
6,0.21
7,0.24
Média dos custos: 9.2
Média dos tempos: 0.344
Menor custo: 6
11,177.19
11,66.21
11,5.5
4,0.22
10,0.25
Média dos custos: 9.4
Média dos tempos: 49.873999999999995
Menor custo: 4
10,15.57
4,0.74
6,0.24
10,0.28
10,0.27
10,0.24
Média dos custos: 8.0
Média dos tempos: 0.354
Menor custo: 4
10,0.72
4,0.23
6,0.22
10,0.21
4,0.22
Média dos custos: 6.8
Média dos tempos: 0.31999999999999995
Menor custo: 4
